Row,Column,Issue,Original,Fixed
12,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
17,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
18,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
20,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
25,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
31,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
38,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
53,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
56,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
58,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
60,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
61,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
62,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
69,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
80,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
81,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
87,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
93,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
96,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
102,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
104,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
114,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
124,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
128,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
132,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
134,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
138,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
140,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
145,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
149,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
156,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
158,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
159,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
161,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
167,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
173,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
179,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
184,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
187,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
188,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
194,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
195,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
197,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
206,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
207,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
209,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
216,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
221,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
225,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
229,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
231,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
233,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
236,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
237,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
239,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
240,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
252,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
258,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
265,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
267,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
269,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
293,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
296,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
300,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
306,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
308,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
313,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
321,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
322,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
328,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
330,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
332,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
334,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
337,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
338,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
339,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
342,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
357,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
362,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
363,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
368,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
370,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
384,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
387,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
409,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
415,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
416,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
429,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
430,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
441,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
444,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
452,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
456,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
457,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
467,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
476,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
482,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
483,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
488,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
489,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
491,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
494,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
501,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
502,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
505,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
519,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
528,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
538,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
539,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
548,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
556,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
557,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
559,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
562,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
570,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
580,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
583,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
587,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
588,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
604,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
605,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
608,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
615,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
619,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
620,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
624,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
641,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
646,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
647,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
648,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
649,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
658,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
660,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
665,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
666,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
667,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
671,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
674,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
676,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
686,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
692,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
698,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
711,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
717,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
719,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
720,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
722,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
733,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
748,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
763,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
764,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
776,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
787,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
788,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
791,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
792,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
793,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
803,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
805,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
806,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
810,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
814,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
820,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
822,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
837,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
841,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
845,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
850,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
855,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
857,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
863,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
864,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
867,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
878,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
882,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
883,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
887,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
899,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
901,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
903,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
915,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
919,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
920,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
927,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
928,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
929,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
936,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
939,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
947,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
949,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
951,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
953,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
955,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
957,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
959,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
966,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
967,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
978,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
979,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
983,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
993,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
996,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1012,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1015,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1018,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1019,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1020,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1024,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1031,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1034,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1035,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1039,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1040,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1044,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1048,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1053,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1061,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1072,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1076,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1081,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1084,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1086,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1087,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1100,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1101,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1105,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1110,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1111,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1113,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1115,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1117,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1121,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1126,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1129,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1136,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1142,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1146,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1149,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1152,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1153,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1154,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1157,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1161,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1170,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1171,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1172,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1173,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1175,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1177,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1184,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1185,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1197,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1202,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1205,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1213,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1216,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1223,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1224,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1226,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1242,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1244,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1245,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1248,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1249,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1250,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1264,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1267,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1287,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1288,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1289,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1291,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1301,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1306,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1313,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1320,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1327,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1328,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1330,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1331,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1334,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1336,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1337,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1338,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1347,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1350,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1353,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1358,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1362,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1365,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1370,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1372,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1374,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1376,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1377,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1380,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1389,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1390,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1392,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1399,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1407,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1412,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1413,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1415,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1416,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1417,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1425,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1434,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1439,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1446,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1450,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1451,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1459,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1461,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1467,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1487,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1489,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1498,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1499,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1501,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1502,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1509,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1515,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1517,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1520,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1522,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1529,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1533,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1538,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1540,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1541,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1543,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1560,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1561,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1569,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1575,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1576,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1577,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1579,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1602,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
1603,AnnualProfessionalDevHrs,Missing numeric filled,,15.0
